# Telemetry start (system clock): 2025-10-08 09:38:05
# steady_clock t0 reference point for relative times below
time,pos,vel
0.0234,1902.0000,0.0000
0.0924,1964.0000,41.7460
0.1535,2018.0000,0.0000
0.2151,9.0000,0.0000
0.2255,9.0000,0.0000
1.7404,0.0000,0.0000
1.7562,-145.0000,-136.7346
1.7723,-479.0000,-158.3144
1.7879,-812.0000,-210.1435
1.8041,-1169.0000,-206.5600
1.8204,-1505.0000,-192.7655
1.8366,-1851.0000,-202.2693
1.8525,-2193.0000,-202.2693
1.8689,-2540.0000,-200.0604
1.8851,-2888.0000,-196.4769
1.9009,-3230.0000,-196.4769
1.9172,-3578.0000,-200.0604
1.9331,-3913.0000,-196.4769
1.9488,-4244.0000,-189.9773
1.9648,-4595.0000,-202.2693
1.9811,-4936.0000,-202.2693
1.9970,-5271.0000,-199.2651
2.0130,-5617.0000,-200.0604
2.0290,-5955.0000,-200.0604
2.0449,-6293.0000,-202.2693
2.0613,-6646.0000,-202.8486
2.0772,-6982.0000,-206.5600
2.0934,-7328.0000,-196.4769
2.1092,-7669.0000,-202.2693
2.1253,-8011.0000,-200.0604
2.1413,-8350.0000,-205.0575
2.1573,-8694.0000,-196.4769
2.1731,-9033.0000,-202.2693
2.1892,-9375.0000,-202.2693
2.2052,-9716.0000,-202.2693
2.2212,-10058.0000,-200.0604
2.2372,-10400.0000,-192.7655
2.2529,-10731.0000,-189.9773
2.2689,-11083.0000,-202.2693
2.2851,-11423.0000,-196.4769
2.3011,-11758.0000,-195.5537
2.3171,-12108.0000,-199.2651
2.3334,-12450.0000,-200.0604
2.3495,-12792.0000,-206.5600
2.3654,-13130.0000,-202.2693
2.3814,-13478.0000,-192.7655
2.3973,-13815.0000,-189.9773
2.4133,-14156.0000,-202.8486
2.4293,-14498.0000,-196.4769
2.4453,-14833.0000,-200.0604
2.4613,-15181.0000,-192.7655
2.4771,-15519.0000,-202.8486
2.4931,-15856.0000,-202.8486
2.5089,-16196.0000,-202.2693
2.5250,-16533.0000,-200.0604
2.5406,-16866.0000,-200.0604
2.5565,-17207.0000,-202.8486
2.5723,-17545.0000,-195.5537
2.5881,-17884.0000,-200.0604
2.6040,-18225.0000,-199.2651
2.6200,-18563.0000,-200.0604
2.6359,-18899.0000,-202.2693
2.6518,-19242.0000,-202.2693
2.6680,-19590.0000,-199.2651
2.6841,-19931.0000,-202.2693
2.7001,-20271.0000,-200.0604
2.7158,-20606.0000,-200.0604
2.7319,-20954.0000,-202.2693
2.7480,-21296.0000,-202.2693
2.7641,-21642.0000,-202.2693
2.7804,-21980.0000,-202.9766
2.7962,-22318.0000,-202.8486
2.8119,-22659.0000,-205.0575
2.8280,-23002.0000,-202.8486
2.8440,-23340.0000,-202.9766
2.8598,-23682.0000,-205.0575
2.8759,-24023.0000,-205.0575
2.8920,-24364.0000,-202.8486
2.9079,-24700.0000,-199.2651
2.9236,-25038.0000,-202.9766
2.9399,-25388.0000,-206.5600
2.9558,-25722.0000,-200.0604
2.9715,-26057.0000,-202.2693
2.9876,-26404.0000,-202.2693
3.0037,-26745.0000,-202.2693
3.0195,-27088.0000,-199.2651
3.0356,-27428.0000,-192.7655
3.0513,-27763.0000,-196.4769
3.0672,-28102.0000,-202.2693
3.0838,-28457.0000,-200.0604
3.0998,-28799.0000,-196.4769
3.1161,-29148.0000,-200.0604
3.1321,-29491.0000,-192.7655
3.1482,-29821.0000,-162.6052
3.1643,-29992.0000,-12.2920
3.1801,-29998.0000,0.0000
3.1958,-29998.0000,0.0000
3.2046,-29999.0000,0.0000
3.2183,-29999.0000,0.0000
3.2318,-30000.0000,0.0000
3.2455,-30000.0000,0.0000
3.2591,-30000.0000,0.0000
3.2725,-30000.0000,0.0000
3.2863,-30000.0000,0.0000
3.3001,-30000.0000,0.0000
3.3136,-30000.0000,0.0000
3.3269,-30000.0000,0.0000
3.3410,-30000.0000,0.0000
3.3544,-30000.0000,0.0000
3.3679,-30000.0000,0.0000
3.3815,-30000.0000,0.0000
3.3949,-30000.0000,0.0000
3.4086,-30000.0000,0.0000
3.4221,-30000.0000,0.0000
3.4357,-30001.0000,0.0000
3.4491,-30001.0000,0.0000
3.4628,-30001.0000,0.0000
3.4766,-30000.0000,0.0000
3.4902,-30000.0000,0.0000
3.5040,-30000.0000,0.0000
3.5177,-30000.0000,0.0000
3.5312,-30000.0000,0.0000
3.5449,-30000.0000,0.0000
3.5584,-30000.0000,0.0000
3.5719,-30000.0000,0.0000
3.5854,-30000.0000,0.0000
3.5990,-30000.0000,0.0000
3.6125,-30000.0000,0.0000
3.6261,-30000.0000,0.0000
3.6395,-30000.0000,0.0000
3.6531,-30000.0000,0.0000
3.6666,-30000.0000,0.0000
3.6799,-30000.0000,0.0000
3.6935,-30000.0000,0.0000
3.7071,-30000.0000,0.0000
3.7208,-30000.0000,0.0000
3.7342,-30000.0000,0.0000
3.7477,-30000.0000,0.0000
3.7613,-30000.0000,0.0000
3.7749,-30000.0000,0.0000
3.7885,-30000.0000,0.0000
3.8018,-30000.0000,0.0000
3.8152,-30000.0000,0.0000
3.8288,-30000.0000,0.0000
3.8424,-30000.0000,0.0000
3.8558,-30000.0000,0.0000
3.8693,-30000.0000,0.0000
3.8829,-30000.0000,0.0000
3.8964,-30000.0000,0.0000
3.9101,-30000.0000,0.0000
3.9236,-30000.0000,0.0000
3.9371,-30000.0000,0.0000
3.9506,-30000.0000,0.0000
3.9642,-30000.0000,0.0000
3.9778,-30000.0000,0.0000
3.9913,-30000.0000,0.0000
4.0049,-30000.0000,0.0000
4.0185,-30000.0000,0.0000
4.0320,-30000.0000,0.0000
4.0454,-30000.0000,0.0000
4.0589,-30000.0000,0.0000
4.0725,-30000.0000,0.0000
4.0862,-30000.0000,0.0000
4.0998,-30000.0000,0.0000
4.1134,-30000.0000,0.0000
4.1271,-30000.0000,0.0000
4.1409,-30000.0000,0.0000
4.1546,-30000.0000,0.0000
4.1683,-30000.0000,0.0000
4.1818,-30000.0000,0.0000
4.1956,-30000.0000,0.0000
4.2182,-30000.0000,0.0000
4.2344,-29824.0000,124.4426
4.2506,-29500.0000,177.6853
4.2669,-29155.0000,202.2693
4.2831,-28810.0000,200.0604
4.2991,-28464.0000,189.9773
4.3151,-28128.0000,192.7655
4.3311,-27788.0000,202.2693
4.3476,-27439.0000,202.2693
4.3631,-27104.0000,192.7655
4.3791,-26771.0000,196.4769
4.3947,-26437.0000,192.7655
4.4107,-26089.0000,202.8486
4.4269,-25746.0000,199.2651
4.4427,-25406.0000,202.2693
4.4588,-25065.0000,200.0604
4.4747,-24725.0000,202.2693
4.4908,-24384.0000,202.2693
4.5066,-24047.0000,200.0604
4.5224,-23707.0000,200.0604
4.5384,-23374.0000,202.9766
4.5541,-23033.0000,202.2693
4.5701,-22691.0000,199.2651
4.5860,-22347.0000,202.2693
4.6021,-22008.0000,202.2693
4.6181,-21672.0000,196.4769
4.6339,-21327.0000,195.5537
4.6501,-20990.0000,202.9766
4.6658,-20649.0000,192.7655
4.6816,-20315.0000,189.9773
4.6976,-20047.0000,73.4088
4.7133,-20001.0000,0.0000
4.7294,-20001.0000,0.0000
4.7454,-20001.0000,0.0000
