# Telemetry start (system clock): 2025-10-08 09:43:22
# steady_clock t0 reference for relative times below
time,pos,vel
8.2988,-30000.0000,0.0000
8.3576,-30000.0000,0.0000
8.4160,-30000.0000,0.0000
8.4748,-30000.0000,0.0000
8.5334,-30000.0000,0.0000
8.5918,-30000.0000,0.0000
8.6502,-30000.0000,0.0000
8.7088,-30000.0000,0.0000
8.7673,-30000.0000,0.0000
8.8260,-30000.0000,0.0000
8.8844,-30000.0000,0.0000
8.9431,-30000.0000,0.0000
9.0113,-30000.0000,0.0000
9.0275,-29824.0000,126.6515
9.0435,-29506.0000,183.4777
9.0595,-29162.0000,199.2651
9.0759,-28817.0000,196.4769
9.0918,-28470.0000,200.0604
9.1081,-28128.0000,200.0604
9.1240,-27781.0000,196.4769
9.1399,-27452.0000,202.8486
9.1557,-27104.0000,202.2693
9.1719,-26759.0000,189.9773
9.1882,-26417.0000,200.0604
9.2043,-26076.0000,199.2651
9.2202,-25733.0000,202.8486
9.2362,-25394.0000,195.5537
9.2522,-25053.0000,202.8486
9.2684,-24712.0000,202.8486
9.2842,-24371.0000,202.8486
9.3001,-24028.0000,200.0604
9.3161,-23695.0000,200.0604
9.3319,-23349.0000,202.9766
9.3482,-23008.0000,202.2693
9.3643,-22660.0000,205.0575
9.3804,-22316.0000,202.8486
9.3967,-21970.0000,202.2693
9.4127,-21629.0000,196.4769
9.4287,-21283.0000,200.0604
9.4449,-20946.0000,189.9773
9.4607,-20606.0000,202.2693
9.4767,-20266.0000,189.9773
9.4926,-20028.0000,50.4545
9.5087,-20001.0000,0.0000
9.5248,-20001.0000,0.0000
