# Telemetry start (system clock): 2025-10-08 09:43:22
# steady_clock t0 reference for relative times below
time,pos,vel
0.0012,5096.0000,0.0000
0.0159,5096.0000,0.0000
4.9606,5096.0000,0.0000
4.9767,5118.0000,31.6629
4.9929,5182.0000,54.0379
5.0089,5288.0000,75.6177
5.0251,5436.0000,106.4854
5.0414,5624.0000,116.5685
5.0574,5857.0000,149.6059
5.0737,6125.0000,177.1060
5.0900,6448.0000,200.0604
5.1062,6816.0000,217.9287
5.1231,7218.0000,250.5149
5.1391,7656.0000,274.8829
5.1553,8144.0000,291.4656
5.1711,8652.0000,328.9208
5.1871,9214.0000,339.5832
5.2031,9813.0000,377.1664
5.2190,10442.0000,358.3748
5.2350,11049.0000,333.2116
5.2514,11603.0000,316.6288
5.2674,12118.0000,279.0456
5.2834,12590.0000,273.4692
5.2994,13031.0000,236.7204
5.3156,13422.0000,215.2686
5.3320,13789.0000,189.9773
5.3485,14096.0000,158.3144
5.3647,14380.0000,138.9435
5.3817,14601.0000,114.3596
5.3977,14782.0000,88.6170
5.4137,14921.0000,63.3258
5.4296,15020.0000,41.7460
5.4459,15079.0000,20.1661
5.4619,15096.0000,0.0000
5.4781,15096.0000,0.0000
5.4939,15096.0000,0.0000
5.5023,15096.0000,0.0000
5.5610,15097.0000,0.0000
5.6199,15096.0000,0.0000
5.6795,15096.0000,0.0000
5.7383,15096.0000,0.0000
5.7972,15096.0000,0.0000
5.8561,15096.0000,0.0000
5.9150,15096.0000,0.0000
5.9736,15096.0000,0.0000
6.0412,15096.0000,-10.0831
6.0573,15080.0000,-25.1632
6.0733,15026.0000,-46.7430
6.0896,14943.0000,-63.3258
6.1055,14827.0000,-79.9085
6.1213,14680.0000,-100.9090
6.1372,14499.0000,-114.3596
6.1534,14280.0000,-133.1512
6.1695,14034.0000,-158.3144
6.1856,13754.0000,-173.3946
6.2015,13435.0000,-189.9773
6.2177,13089.0000,-212.9316
6.2339,12703.0000,-228.1398
6.2499,12318.0000,-225.3516
6.2658,11953.0000,-202.9766
6.2818,11621.0000,-189.9773
6.2978,11320.0000,-158.3144
6.3137,11052.0000,-139.6508
6.3297,10820.0000,-126.6515
6.3457,10619.0000,-106.4854
6.3619,10447.0000,-88.4890
6.3781,10310.0000,-63.3258
6.3948,10205.0000,-46.7430
6.4111,10138.0000,-25.2913
6.4269,10102.0000,-10.0831
6.4432,10096.0000,0.0000
6.4593,10096.0000,0.0000
